var_type,format,voice_type_main,voice_type_desc,voice,giovani,famiglie_bassa,famiglie_media,famiglie_alta,pensionati_bassa,pensionati_media
isc,sportello,operativita_corrente,gestione della liquidità,Comunicazione Trasparenza,0.85,0.85,0.85,0.85,0.85,0.85
isc,sportello,operativita_corrente,gestione della liquidità,Invio estratto conto,3.4,3.4,3.4,3.4,3.4,3.4
isc,sportello,servizi_pagamento,carta di debito,Canone carta di debito,0,0,0,0,0,0
isc,sportello,servizi_pagamento,carta di debito,Prelievo presso ATM banca del gruppo,0,0,0,0,0,0
isc,sportello,servizi_pagamento,carta di debito,Prelievo presso ATM altra banca,0,0,0,0,0,0
isc,sportello,servizi_pagamento,carta di debito,Prelievo presso ATM altri Paesi UE,0,0,0,0,0,0
isc,sportello,servizi_pagamento,operazioni pagamento con carta debito,Operazioni,0,0,0,0,0,0
isc,sportello,servizi_pagamento,carta di credito,Carta di credito,0,0,30.99,30.99,0,30.99
isc,sportello,servizi_pagamento,carta di credito,invio estratto conto,0,0,13.8,13.8,0,13.8
isc,sportello,servizi_pagamento,carta prepagata,Carta Prepagata,6,0,0,0,0,0
isc,sportello,servizi_pagamento,carta prepagata,Ricarica carta pregata,5,0,0,0,0,0
isc,sportello,servizi_pagamento,"assegni, utenze, imposte",Pagamenti con assegni,0.7,2.45,3.15,3.85,1.75,3.5
isc,sportello,servizi_pagamento,"assegni, utenze, imposte",Domiciliazione utenze,0,0,0,0,0,0
isc,sportello,servizi_pagamento,"assegni, utenze, imposte",Pagamenti tasse ed imposte,0,0,0,0,0,0
isc,sportello,servizi_pagamento,pagamenti ricorrenti,Rata mutuo - addebito in c/c,0,18,18,18,0,0
isc,sportello,servizi_pagamento,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,0,18,0,0,0,0
isc,sportello,servizi_pagamento,bonifici,Accredito stipendio/pensione,0,0,0,0,0,0
isc,sportello,servizi_pagamento,bonifici,Bonifici vs Italia allo sportello,7,10.5,14,17.5,10.5,14
isc,sportello,servizi_pagamento,bonifici,Bonifici vs Italia online,3.5,0.5,2,2.5,0,1
isc,sportello,servizi_pagamento,bonifici,Pagamenti ricevuti tramite bonifico,0,0,0,0,0,0
