var_type,format,voice_type_desc,voice_type_desc.1,voice,group,cost
isc,online,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_bassa,0
isc,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_bassa,0
isc,online,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_bassa,18
isc,online,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_bassa,18
isc,online,bonifici,bonifici,Accredito stipendio/pensione,famiglie_bassa,0
isc,online,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_bassa,0
isc,online,bonifici,bonifici,Bonifici vs Italia online,famiglie_bassa,2
isc,online,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_bassa,0
isc,online,total,total,Totale,famiglie_bassa,44.29
valore,sportello,base,base,Canone,famiglie_media,0
valore,sportello,base,base,Nowbanking Privati,famiglie_media,0
valore,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_media,0
valore,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_media,0.16
valore,sportello,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_media,1
valore,sportello,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_media,0
valore,sportello,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_media,0.2125
valore,sportello,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_media,0.85
valore,sportello,carta di debito,carta di debito,Canone carta di debito,famiglie_media,0
valore,sportello,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_media,0
valore,sportello,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_media,2.1
valore,sportello,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_media,2.1
valore,sportello,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_media,0
valore,sportello,carta di credito,carta di credito,Carta di credito,famiglie_media,30.99
valore,sportello,carta di credito,carta di credito,invio estratto conto,famiglie_media,1.15
valore,sportello,carta prepagata,carta prepagata,Carta Prepagata,famiglie_media,12
valore,sportello,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_media,1
valore,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_media,0.35
valore,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_media,0
valore,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_media,0
valore,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_media,1.5
valore,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_media,1.5
valore,sportello,bonifici,bonifici,Accredito stipendio/pensione,famiglie_media,0
valore,sportello,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_media,3.5
valore,sportello,bonifici,bonifici,Bonifici vs Italia online,famiglie_media,0.5
valore,sportello,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_media,0
valore,sportello,total,total,Totale,famiglie_media,
numero_operazioni,sportello,base,base,Canone,famiglie_media,1
numero_operazioni,sportello,base,base,Nowbanking Privati,famiglie_media,1
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_media,5
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_media,21
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_media,5
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_media,10
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_media,4
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_media,4
numero_operazioni,sportello,carta di debito,carta di debito,Canone carta di debito,famiglie_media,1
numero_operazioni,sportello,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_media,37
numero_operazioni,sportello,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_media,7
numero_operazioni,sportello,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_media,2
numero_operazioni,sportello,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_media,54
numero_operazioni,sportello,carta di credito,carta di credito,Carta di credito,famiglie_media,1
numero_operazioni,sportello,carta di credito,carta di credito,invio estratto conto,famiglie_media,12
numero_operazioni,sportello,carta prepagata,carta prepagata,Carta Prepagata,famiglie_media,0
numero_operazioni,sportello,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_media,0
numero_operazioni,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_media,9
numero_operazioni,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_media,18
numero_operazioni,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_media,2
numero_operazioni,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_media,12
numero_operazioni,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_media,0
numero_operazioni,sportello,bonifici,bonifici,Accredito stipendio/pensione,famiglie_media,12
numero_operazioni,sportello,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_media,4
numero_operazioni,sportello,bonifici,bonifici,Bonifici vs Italia online,famiglie_media,4
numero_operazioni,sportello,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_media,4
numero_operazioni,sportello,total,total,Totale,famiglie_media,228
isc,sportello,base,base,Canone,famiglie_media,0
isc,sportello,base,base,Nowbanking Privati,famiglie_media,0
isc,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_media,0
isc,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_media,3.36
isc,sportello,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_media,5
isc,sportello,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_media,0
isc,sportello,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_media,0.85
isc,sportello,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_media,3.4
isc,sportello,carta di debito,carta di debito,Canone carta di debito,famiglie_media,0
isc,sportello,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_media,0
isc,sportello,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_media,0
isc,sportello,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_media,0
isc,sportello,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_media,0
isc,sportello,carta di credito,carta di credito,Carta di credito,famiglie_media,30.99
isc,sportello,carta di credito,carta di credito,invio estratto conto,famiglie_media,13.8
isc,sportello,carta prepagata,carta prepagata,Carta Prepagata,famiglie_media,0
isc,sportello,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_media,0
isc,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_media,3.15
isc,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_media,0
isc,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_media,0
isc,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_media,18
isc,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_media,0
isc,sportello,bonifici,bonifici,Accredito stipendio/pensione,famiglie_media,0
isc,sportello,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_media,14
isc,sportello,bonifici,bonifici,Bonifici vs Italia online,famiglie_media,2
isc,sportello,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_media,0
isc,sportello,total,total,Totale,famiglie_media,94.55
valore,online,base,base,Canone,famiglie_media,0
valore,online,base,base,Nowbanking Privati,famiglie_media,0
valore,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_media,1
valore,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_media,0.16
valore,online,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_media,1
valore,online,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_media,0
valore,online,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_media,0
valore,online,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_media,0
valore,online,carta di debito,carta di debito,Canone carta di debito,famiglie_media,0
valore,online,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_media,0
valore,online,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_media,2.1
valore,online,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_media,2.1
valore,online,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_media,0
valore,online,carta di credito,carta di credito,Carta di credito,famiglie_media,30.99
valore,online,carta di credito,carta di credito,invio estratto conto,famiglie_media,0
valore,online,carta prepagata,carta prepagata,Carta Prepagata,famiglie_media,12
valore,online,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_media,0.5
valore,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_media,0.35
valore,online,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_media,0
valore,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_media,0
valore,online,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_media,1.5
valore,online,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_media,1.5
valore,online,bonifici,bonifici,Accredito stipendio/pensione,famiglie_media,0
valore,online,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_media,3.5
valore,online,bonifici,bonifici,Bonifici vs Italia online,famiglie_media,0.5
valore,online,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_media,0
valore,online,total,total,Totale,famiglie_media,
numero_operazioni,online,base,base,Canone,famiglie_media,1
numero_operazioni,online,base,base,Nowbanking Privati,famiglie_media,1
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_media,0
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_media,26
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_media,0
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_media,10
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_media,4
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_media,4
numero_operazioni,online,carta di debito,carta di debito,Canone carta di debito,famiglie_media,1
numero_operazioni,online,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_media,42
numero_operazioni,online,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_media,7
numero_operazioni,online,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_media,2
numero_operazioni,online,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_media,54
numero_operazioni,online,carta di credito,carta di credito,Carta di credito,famiglie_media,1
numero_operazioni,online,carta di credito,carta di credito,invio estratto conto,famiglie_media,12
numero_operazioni,online,carta prepagata,carta prepagata,Carta Prepagata,famiglie_media,0
numero_operazioni,online,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_media,0
numero_operazioni,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_media,9
numero_operazioni,online,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_media,18
numero_operazioni,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_media,2
numero_operazioni,online,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_media,12
numero_operazioni,online,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_media,0
numero_operazioni,online,bonifici,bonifici,Accredito stipendio/pensione,famiglie_media,12
numero_operazioni,online,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_media,0
numero_operazioni,online,bonifici,bonifici,Bonifici vs Italia online,famiglie_media,8
numero_operazioni,online,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_media,4
numero_operazioni,online,total,total,Totale,famiglie_media,228
isc,online,base,base,Canone,famiglie_media,0
isc,online,base,base,Nowbanking Privati,famiglie_media,0
isc,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_media,0
isc,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_media,4.16
isc,online,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_media,0
isc,online,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_media,0
isc,online,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_media,0
isc,online,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_media,0
isc,online,carta di debito,carta di debito,Canone carta di debito,famiglie_media,0
isc,online,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_media,0
isc,online,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_media,0
isc,online,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_media,0
isc,online,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_media,0
isc,online,carta di credito,carta di credito,Carta di credito,famiglie_media,30.99
isc,online,carta di credito,carta di credito,invio estratto conto,famiglie_media,0
isc,online,carta prepagata,carta prepagata,Carta Prepagata,famiglie_media,0
isc,online,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_media,0
isc,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_media,3.15
isc,online,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_media,0
isc,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_media,0
isc,online,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_media,18
isc,online,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_media,0
isc,online,bonifici,bonifici,Accredito stipendio/pensione,famiglie_media,0
isc,online,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_media,0
isc,online,bonifici,bonifici,Bonifici vs Italia online,famiglie_media,4
isc,online,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_media,0
isc,online,total,total,Totale,famiglie_media,60.3
valore,sportello,base,base,Canone,famiglie_alta,0
valore,sportello,base,base,Nowbanking Privati,famiglie_alta,0
valore,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_alta,0
valore,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_alta,0.16
valore,sportello,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_alta,1
valore,sportello,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_alta,0
valore,sportello,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_alta,0.2125
valore,sportello,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_alta,0.85
valore,sportello,carta di debito,carta di debito,Canone carta di debito,famiglie_alta,0
valore,sportello,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_alta,0
valore,sportello,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_alta,2.1
valore,sportello,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_alta,2.1
valore,sportello,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_alta,0
valore,sportello,carta di credito,carta di credito,Carta di credito,famiglie_alta,30.99
valore,sportello,carta di credito,carta di credito,invio estratto conto,famiglie_alta,1.15
valore,sportello,carta prepagata,carta prepagata,Carta Prepagata,famiglie_alta,12
valore,sportello,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_alta,1
valore,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_alta,0.35
valore,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_alta,0
valore,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_alta,0
valore,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_alta,1.5
valore,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_alta,1.5
valore,sportello,bonifici,bonifici,Accredito stipendio/pensione,famiglie_alta,0
valore,sportello,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_alta,3.5
valore,sportello,bonifici,bonifici,Bonifici vs Italia online,famiglie_alta,0.5
valore,sportello,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_alta,0
valore,sportello,total,total,Totale,famiglie_alta,
numero_operazioni,sportello,base,base,Canone,famiglie_alta,1
numero_operazioni,sportello,base,base,Nowbanking Privati,famiglie_alta,1
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_alta,6
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_alta,35
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_alta,6
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_alta,10
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_alta,4
numero_operazioni,sportello,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_alta,4
numero_operazioni,sportello,carta di debito,carta di debito,Canone carta di debito,famiglie_alta,1
numero_operazioni,sportello,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_alta,38
numero_operazioni,sportello,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_alta,5
numero_operazioni,sportello,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_alta,2
numero_operazioni,sportello,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_alta,52
numero_operazioni,sportello,carta di credito,carta di credito,Carta di credito,famiglie_alta,1
numero_operazioni,sportello,carta di credito,carta di credito,invio estratto conto,famiglie_alta,12
numero_operazioni,sportello,carta prepagata,carta prepagata,Carta Prepagata,famiglie_alta,0
numero_operazioni,sportello,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_alta,0
numero_operazioni,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_alta,11
numero_operazioni,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_alta,24
numero_operazioni,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_alta,2
numero_operazioni,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_alta,12
numero_operazioni,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_alta,0
numero_operazioni,sportello,bonifici,bonifici,Accredito stipendio/pensione,famiglie_alta,12
numero_operazioni,sportello,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_alta,5
numero_operazioni,sportello,bonifici,bonifici,Bonifici vs Italia online,famiglie_alta,5
numero_operazioni,sportello,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_alta,6
numero_operazioni,sportello,total,total,Totale,famiglie_alta,253
isc,sportello,base,base,Canone,famiglie_alta,0
isc,sportello,base,base,Nowbanking Privati,famiglie_alta,0
isc,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_alta,0
isc,sportello,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_alta,5.6
isc,sportello,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_alta,6
isc,sportello,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_alta,0
isc,sportello,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_alta,0.85
isc,sportello,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_alta,3.4
isc,sportello,carta di debito,carta di debito,Canone carta di debito,famiglie_alta,0
isc,sportello,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_alta,0
isc,sportello,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_alta,0
isc,sportello,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_alta,0
isc,sportello,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_alta,0
isc,sportello,carta di credito,carta di credito,Carta di credito,famiglie_alta,30.99
isc,sportello,carta di credito,carta di credito,invio estratto conto,famiglie_alta,13.8
isc,sportello,carta prepagata,carta prepagata,Carta Prepagata,famiglie_alta,0
isc,sportello,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_alta,0
isc,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_alta,3.85
isc,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_alta,0
isc,sportello,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_alta,0
isc,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_alta,18
isc,sportello,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_alta,0
isc,sportello,bonifici,bonifici,Accredito stipendio/pensione,famiglie_alta,0
isc,sportello,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_alta,17.5
isc,sportello,bonifici,bonifici,Bonifici vs Italia online,famiglie_alta,2.5
isc,sportello,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_alta,0
isc,sportello,total,total,Totale,famiglie_alta,102.49
valore,online,base,base,Canone,famiglie_alta,0
valore,online,base,base,Nowbanking Privati,famiglie_alta,0
valore,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_alta,1
valore,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_alta,0.16
valore,online,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_alta,1
valore,online,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_alta,0
valore,online,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_alta,0
valore,online,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_alta,0
valore,online,carta di debito,carta di debito,Canone carta di debito,famiglie_alta,0
valore,online,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_alta,0
valore,online,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_alta,2.1
valore,online,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_alta,2.1
valore,online,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_alta,0
valore,online,carta di credito,carta di credito,Carta di credito,famiglie_alta,30.99
valore,online,carta di credito,carta di credito,invio estratto conto,famiglie_alta,0
valore,online,carta prepagata,carta prepagata,Carta Prepagata,famiglie_alta,12
valore,online,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_alta,0.5
valore,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_alta,0.35
valore,online,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_alta,0
valore,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_alta,0
valore,online,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_alta,1.5
valore,online,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_alta,1.5
valore,online,bonifici,bonifici,Accredito stipendio/pensione,famiglie_alta,0
valore,online,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_alta,3.5
valore,online,bonifici,bonifici,Bonifici vs Italia online,famiglie_alta,0.5
valore,online,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_alta,0
valore,online,total,total,Totale,famiglie_alta,
numero_operazioni,online,base,base,Canone,famiglie_alta,1
numero_operazioni,online,base,base,Nowbanking Privati,famiglie_alta,1
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento allo sportello,famiglie_alta,0
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Richiesta elenco movimento online,famiglie_alta,41
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Prelievo contante sportello > 500 €,famiglie_alta,0
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Versamento in contante e assegni,famiglie_alta,10
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Comunicazione Trasparenza,famiglie_alta,4
numero_operazioni,online,gestione della liquidità,gestione della liquidità,Invio estratto conto,famiglie_alta,4
numero_operazioni,online,carta di debito,carta di debito,Canone carta di debito,famiglie_alta,1
numero_operazioni,online,carta di debito,carta di debito,Prelievo presso ATM banca del gruppo,famiglie_alta,44
numero_operazioni,online,carta di debito,carta di debito,Prelievo presso ATM altra banca,famiglie_alta,5
numero_operazioni,online,carta di debito,carta di debito,Prelievo presso ATM altri Paesi UE,famiglie_alta,2
numero_operazioni,online,operazioni pagamento con carta debito,operazioni pagamento con carta debito,Operazioni,famiglie_alta,52
numero_operazioni,online,carta di credito,carta di credito,Carta di credito,famiglie_alta,1
numero_operazioni,online,carta di credito,carta di credito,invio estratto conto,famiglie_alta,12
numero_operazioni,online,carta prepagata,carta prepagata,Carta Prepagata,famiglie_alta,0
numero_operazioni,online,carta prepagata,carta prepagata,Ricarica carta pregata,famiglie_alta,0
numero_operazioni,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti con assegni,famiglie_alta,11
numero_operazioni,online,"assegni, utenze, imposte","assegni, utenze, imposte",Domiciliazione utenze,famiglie_alta,24
numero_operazioni,online,"assegni, utenze, imposte","assegni, utenze, imposte",Pagamenti tasse ed imposte,famiglie_alta,2
numero_operazioni,online,pagamenti ricorrenti,pagamenti ricorrenti,Rata mutuo - addebito in c/c,famiglie_alta,12
numero_operazioni,online,pagamenti ricorrenti,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,famiglie_alta,0
numero_operazioni,online,bonifici,bonifici,Accredito stipendio/pensione,famiglie_alta,12
numero_operazioni,online,bonifici,bonifici,Bonifici vs Italia allo sportello,famiglie_alta,0
numero_operazioni,online,bonifici,bonifici,Bonifici vs Italia online,famiglie_alta,10
numero_operazioni,online,bonifici,bonifici,Pagamenti ricevuti tramite bonifico,famiglie_alta,6
numero_operazioni,online,total,total,Totale,famiglie_alta,253
isc,online,base,base,Canone,famiglie_alta,0
isc,online,base,base,Nowbanking Privati,famiglie_alta,0
